Plugin,Menu,Section,Type,English,Japanese
"BeastMasterHelper","","","","    Giver: Excited Adventurer","贈り主：興奮した冒険者"
"BeastMasterHelper","","","","    Giver: J'yhuh Tia","贈り主: ジェイフー・ティア"
"BeastMasterHelper","","","","    Giver: Lauda","贈り主：ラウダ"
"BeastMasterHelper","","","","    Giver: Sylmond   (high-end crucible)","贈り主：シルモンド（高級るつぼ）"
"BeastMasterHelper","","","","   1. empty   (raw 0)","1. 空 (生の 0)"
"BeastMasterHelper","","","","   2. empty   (raw 0)","2. 空 (生の 0)"
"BeastMasterHelper","","","","   3. empty   (raw 0)","3. 空 (生の 0)"
"BeastMasterHelper","","","","   Bestiary unlocked: 50 / 50","獣寓話のロック解除: 50 / 50"
"BeastMasterHelper","","",""," by Anmi (fork maintained by T3chnicalD3ath Inc.)",""
"BeastMasterHelper","","","","Accessory",""
"BeastMasterHelper","","","","Action",""
"BeastMasterHelper","","","","Actions",""
"BeastMasterHelper","","","","Acts only on the hostile target you have selected. With no capture status applied it captures first, then runs the 1-2-3 combo.","選択した敵対的なターゲットにのみ作用します。キャプチャ ステータスが適用されていない場合、最初にキャプチャしてから 1-2-3 コンボを実行します。"
"BeastMasterHelper","","","","AI Assist","AIアシスト"
"BeastMasterHelper","","","","Allow vnavmesh to use flight paths.","vnavmesh に飛行経路の使用を許可します。"
"BeastMasterHelper","","","","Also place a map flag when navigation starts.","ナビゲーション開始時にもマップフラグを配置します。"
"BeastMasterHelper","","","","Also use on packs","パックにも使えます"
"BeastMasterHelper","","","","AoE",""
"BeastMasterHelper","","","","Arcane",""
"BeastMasterHelper","","","","Arena boundary","アリーナの境界線"
"BeastMasterHelper","","","","Armour",""
"BeastMasterHelper","","","","Attribute",""
"BeastMasterHelper","","","","Auto",""
"BeastMasterHelper","","","","Auto picks by:","自動選択方法:"
"BeastMasterHelper","","","","Auto-attack",""
"BeastMasterHelper","","","","Auto-attack##section-auto-output","自動攻撃##section-auto-output"
"BeastMasterHelper","","","","Auto-hide when idle","アイドル時に自動非表示"
"BeastMasterHelper","","","","Auto-summon a familiar","使い魔を自動召喚"
"BeastMasterHelper","","","","Available",""
"BeastMasterHelper","","","","Axe TP threshold","斧のTP閾値"
"BeastMasterHelper","","","","Battlehorn",""
"BeastMasterHelper","","","","Battlehorn slots (read from the client):","Battlehorn スロット (クライアントから読み取り):"
"BeastMasterHelper","","","","Beast catalogue","ビーストカタログ"
"BeastMasterHelper","","","","Beast catalogue##section-catalog","獣カタログ##section-catalog"
"BeastMasterHelper","","","","Beast Heart",""
"BeastMasterHelper","","","","Beast Master Helper",""
"BeastMasterHelper","","","","Beastmaster Progress Hub","ビーストマスター プログレス ハブ"
"BeastMasterHelper","","","","Beastmaster quest chain","ビーストマスター クエスト チェーン"
"BeastMasterHelper","","","","Beastmaster quest chain##section-quests","ビーストマスター クエスト チェーン##section-quests"
"BeastMasterHelper","","","","Bestiary count from client: 50   mask trusted: True","クライアントからの動物寓話数: 50 信頼できるマスク: True"
"BeastMasterHelper","","","","Board",""
"BeastMasterHelper","","","","Body",""
"BeastMasterHelper","","","","Borrow (utility)","借りる（公共料金）"
"BeastMasterHelper","","","","Bracelets",""
"BeastMasterHelper","","","","Burn",""
"BeastMasterHelper","","","","Capture diagnostics","キャプチャ診断"
"BeastMasterHelper","","","","Capture enabled: True   HP threshold: 80%","キャプチャ有効: 真の HP しきい値: 80%"
"BeastMasterHelper","","","","Capture HP threshold","捕獲HP閾値"
"BeastMasterHelper","","","","Capture your current position as the centre and switch to Fixed. A starting point - nudge it from there rather than walking to the middle.","現在の位置を中心としてキャプチャし、固定に切り替えます。開始点 - 中央まで歩くのではなく、そこから少しずつ動かします。"
"BeastMasterHelper","","","","Category",""
"BeastMasterHelper","","","","Centre",""
"BeastMasterHelper","","","","Charge beyond","超えて充電する"
"BeastMasterHelper","","","","Circle",""
"BeastMasterHelper","","","","Collect the state of every quest","すべての クエスト の状態を収集する"
"BeastMasterHelper","","","","Colour",""
"BeastMasterHelper","","","","Columns",""
"BeastMasterHelper","","","","Commands",""
"BeastMasterHelper","","","","Commands##section-commands",""
"BeastMasterHelper","","","","Complete",""
"BeastMasterHelper","","","","Configure auto-capture and auto-attack behaviour.","自動キャプチャと自動攻撃の動作を構成します。"
"BeastMasterHelper","","","","Content",""
"BeastMasterHelper","","","","Cooldowns",""
"BeastMasterHelper","","","","Cooperation gauge","連携ゲージ"
"BeastMasterHelper","","","","Copy inspection","コピー検査"
"BeastMasterHelper","","","","Copy measurement","コピー測定"
"BeastMasterHelper","","","","Copy result","コピー結果"
"BeastMasterHelper","","","","Cross-map teleport","クロスマップテレポート"
"BeastMasterHelper","","","","Crucible of the Unbroken",""
"BeastMasterHelper","","","","Crucible of the Unbroken##section-crucible",""
"BeastMasterHelper","","","","Current character: Angel Wings@Ultima","現在のキャラクター：エンジェルウィングス@アルティマ"
"BeastMasterHelper","","","","Current gauge","電流計"
"BeastMasterHelper","","","","Current job is not Beastmaster","現在のジョブはビーストマスターではありません"
"BeastMasterHelper","","","","Current mode","現在のモード"
"BeastMasterHelper","","","","Cycle through all three familiars","3 つの使い魔をすべて循環する"
"BeastMasterHelper","","","","DEBUG",""
"BeastMasterHelper","","","","DEBUG##section-debug",""
"BeastMasterHelper","","","","Detailed mode##ShowGaugeInOverlay","詳細モード##ShowGaugeInOverlay"
"BeastMasterHelper","","","","Dismiss the current familiar with Parting Blow when its turn is done and summon the next in kinship order.

Each Battlehorn has its own cooldown group and only 2s of recast, which starts when the familiar retreats - so the loop is limited by Parting Blow's 10s, not by the horns. Needs at least two identified slots, and Auto rather than a pinned slot.

This does NOT require the AoE option above.","ターン終了時に現在の別れ吹きの使い魔を退け、親族順に次の使い魔を召喚します。

各バトルホーンには独自のクールダウン グループがあり、リキャストは 2 秒のみで、使い魔が退却すると開始されます。そのため、ループは角ではなくパーティング ブロウの 10 秒によって制限されます。少なくとも 2 つの識別されたスロットと、固定されたスロットではなく自動が必要です。

これには上記の AoE オプションは必要ありません。"
"BeastMasterHelper","","","","Distance from the centre to the edge, for both shapes - so switching shape keeps the same meaning. A square's full width is twice this.","両方の形状の中心から端までの距離 - したがって、形状を切り替えても同じ意味が保たれます。正方形の全幅はこの 2 倍です。"
"BeastMasterHelper","","","","Draw a boundary in the world to measure a board, then copy the numbers out.","ワールドに境界線を引いてボードを測定し、その数値をコピーします。"
"BeastMasterHelper","","","","Draw boundary","境界線を描く"
"BeastMasterHelper","","","","Duty",""
"BeastMasterHelper","","","","Earrings",""
"BeastMasterHelper","","","","Enemies for AoE","AoE の敵"
"BeastMasterHelper","","","","Entry automation only. BossmodReborn handles supported encounter mechanics.","入力自動化のみ。 BossModReborn は、サポートされている遭遇メカニズムを処理します。"
"BeastMasterHelper","","","","Equipment",""
"BeastMasterHelper","","","","Familiar",""
"BeastMasterHelper","","","","Familiar size - large","おなじみのサイズ - 大"
"BeastMasterHelper","","","","Familiar size - medium","おなじみのサイズ - 中"
"BeastMasterHelper","","","","Familiar size - small","見慣れたサイズ - 小"
"BeastMasterHelper","","","","Feedback and suggestions","フィードバックと提案"
"BeastMasterHelper","","","","Feet",""
"BeastMasterHelper","","","","Fierce",""
"BeastMasterHelper","","","","First Board","最初のボード"
"BeastMasterHelper","","","","Fixed point","固定小数点"
"BeastMasterHelper","","","","Flight navigation##UseFlightNavigation","フライトナビゲーション##UseFlightNavigation"
"BeastMasterHelper","","","","Follow me","私に従ってください"
"BeastMasterHelper","","","","Following the Winged -> Fierce -> Sturdy -> Arcane -> Winged cycle clockwise produces a stronger Life or Death cooperation action.","翼のある -> 激しい -> 頑丈な -> 秘術 -> 翼のあるサイクルを時計回りに続けると、より強力な生死の協力アクションが生成されます。"
"BeastMasterHelper","","","","Gauge guide##BeastmasterGaugeGuide","ゲージガイド##BeastmasterGaugeGuide"
"BeastMasterHelper","","","","Gear set","ギアセット"
"BeastMasterHelper","","","","General settings","一般設定"
"BeastMasterHelper","","","","Hands",""
"BeastMasterHelper","","","","Head",""
"BeastMasterHelper","","","","Hide captured familiars","捕まえた使い魔を隠す"
"BeastMasterHelper","","","","Hide completed quests","完了したクエストを非表示にする"
"BeastMasterHelper","","","","Hide completed quests##HideCompletedQuests","完了したクエストを非表示##HideCompletedQuests"
"BeastMasterHelper","","","","Hold Trick until TP is at 100","TPが100になるまでトリックを押し続ける"
"BeastMasterHelper","","","","Hotbar icon size","ホットバーアイコンのサイズ"
"BeastMasterHelper","","","","Icons per row","行ごとのアイコン"
"BeastMasterHelper","","","","In armoury (1)","武器庫内 (1)"
"BeastMasterHelper","","","","Inspect windows","窓を点検する"
"BeastMasterHelper","","","","Instead of leaving one familiar out, dismiss it with Parting Blow when its turn is done and summon the next in kinship order.

Each Battlehorn has its own cooldown group and only 2s of recast, which starts when the familiar retreats - so the loop is limited by Parting Blow's 10s, not by the horns. Needs at least two identified slots, and Auto (not a pinned slot).","使い魔を1人残すのではなく、ターン終了時にパーティングブロウで退け、親族順に次の使い魔を召喚します。

各バトルホーンには独自のクールダウン グループがあり、リキャストは 2 秒のみで、使い魔が退却すると開始されます。そのため、ループは角ではなくパーティング ブロウの 10 秒によって制限されます。少なくとも 2 つの識別されたスロットと自動 (ピン留めされたスロットではない) が必要です。"
"BeastMasterHelper","","","","Job",""
"BeastMasterHelper","","","","Kinship priority","親族優先"
