Plugin,Menu,Section,Type,English,Japanese
"Automaton","","","","Achievement Tracker","実績トラッカー"
"Automaton","","","","Achievement Tracker##Selectable_Achievement Tracker","実績トラッカー##Selectable_Achievement Tracker"
"Automaton","","","","Add Currency","通貨の追加"
"Automaton","","","","Add Item","アイテムの追加"
"Automaton","","","","Add Sort Criteria","並べ替え基準の追加"
"Automaton","","","","Additional options when logging in.","ログイン時の追加オプション。"
"Automaton","","","","Adds a context menu entry to lookup a character on lalachievements","Lalachievementsで文字を検索するためのコンテキストメニューエントリを追加します"
"Automaton","","","","Adds a context menu item that will retrieve all materia from an item.","アイテムからすべてのマテリアを取得するコンテキスト メニュー項目を追加します。"
"Automaton","","","","Adds a context menu to items to loop through attaching and removing materia for the Getting Too Attached achievement","「マテリア装着」実績のマテリアの装着と取り外しをループするコンテキスト メニューをアイテムに追加します。"
"Automaton","","","","Adds a DTR element and commands to switch to the prev/next character in AutoRetainer.","DTR 要素と、AutoRetainer の prev/next 文字に切り替えるコマンドを追加します。"
"Automaton","","","","Adds an achievement tracker","実績トラッカーを追加します"
"Automaton","","","","Adds CharacterName@World to the window title.","CharacterName@World をウィンドウ タイトルに追加します。"
"Automaton","","","","Allow partial world matching","部分的なワールドマッチングを許可する"
"Automaton","","","","Anti-AFK","アンチAFK"
"Automaton","","","","Anti-AFK##Selectable_Anti-AFK","アンチAFK##Selectable_Anti-AFK"
"Automaton","","","","Appends a clickable icon to messages with a MapLinkPayload to relay them to other channels.","マップリンクを含むメッセージにクリック可能なアイコンを追加して、メッセージを他のチャネルに中継します。"
"Automaton","","","","AreaMap Click##Input","エリアマップクリック##Input"
"Automaton","","","","Ascending (lowest first)","昇順 (低い順)"
"Automaton","","","","Assume blank worlds are local","空白の世界がローカルであると仮定する"
"Automaton","","","","Auto Busy","自動ビジー状態"
"Automaton","","","","Auto Busy##Selectable_Auto Busy","自動ビジー##Selectable_Auto Busy"
"Automaton","","","","Auto Equip Exp Items","経験値アイテムを自動装備"
"Automaton","","","","Auto Equip Exp Items##Selectable_Auto Equip Exp Items","経験値アイテムを自動装備##Selectable_Auto Equip Exp Items"
"Automaton","","","","Auto Follow","自動フォロー"
"Automaton","","","","Auto Follow Name","自動フォロー名"
"Automaton","","","","Auto Follow##Selectable_Auto Follow","自動フォロー##Selectable_Auto Follow"
"Automaton","","","","Auto invite people to your party based on a chat message.","チャット メッセージに基づいてユーザーを パーティ に自動的に招待します"
"Automaton","","","","Auto Inviter","自動招待"
"Automaton","","","","Auto Inviter##Selectable_Auto Inviter","自動招待##Selectable_Auto Inviter"
"Automaton","","","","Auto Leave##End","自動退出##End"
"Automaton","","","","Auto Merge","自動マージ"
"Automaton","","","","Auto Merge##Selectable_Auto Merge","自動マージ##Selectable_Auto Merge"
"Automaton","","","","Auto Pillion","自動相乗り"
"Automaton","","","","Auto Pillion##Selectable_Auto Pillion","自動相乗り##Selectable_Auto Pillion"
"Automaton","","","","Auto Queue","自動キュー"
"Automaton","","","","Auto queue into a pre-checked duty (on zone change).
If in a party, waits for all players to be in the overworld, and either targetable or in another zone from you.","（ゾーン移動時に）事前にチェックされたコンテンツに自動的に参加します。"
"Automaton","","","","Auto Queue##Selectable_Auto Queue","自動キュー##Selectable_Auto Queue"
"Automaton","","","","Auto Remove Completed##Input","自動削除完了##Input"
"Automaton","","","","Automatically completes snipe quests.","スナイプクエストを自動的に完了します。"
"Automaton","","","","Automatically equips any exp boosting item on level change.","レベルアップ時に経験値増加アイテムを自動的に装備します。"
"Automaton","","","","Automatically execute certain actions when the duty starts or ends.","コンテンツの開始時または終了時に特定のアクションを自動的に実行します。"
"Automaton","","","","Automatically hop in to other peoples' mounts when you are near them.","他の人の近くにいると、自動的に他の人のマウントに飛び込みます。"
"Automaton","","","","AutoRetainer Character Switcher","AutoRetainer キャラクター切替"
"Automaton","","","","AutoRetainer Character Switcher##Selectable_AutoRetainer Character Switcher","AutoRetainer キャラクター切替##Selectable_AutoRetainer Character Switcher"
"Automaton","","","","AutoRetainer x Questionable","AutoRetainer x Questionable"
"Automaton","","","","AutoRetainer x Questionable##Selectable_AutoRetainer x Questionable","AutoRetainer x Questionable##Selectable_AutoRetainer x Questionable"
"Automaton","","","","AutoRetainer:","AutoRetainer:"
"Automaton","","","","Available Commands","利用可能なコマンド"
"Automaton","","","","Available tags: <world>, <type>, <flag>","利用可能なタグ: <world>, <type>, <flag>"
"Automaton","","","","Available tokens: {Level}, {Name}, {Id}, {Progress}, {TimeRemaining}, {Distance}, {State}","利用可能なトークン: {Level}、{Name}、{Id}、{Progress}、{TimeRemaining}、{Distance}、{State}"
"Automaton","","","","Bar Colour","バーの色"
"Automaton","","","","Beep Count","ビープ音の回数"
"Automaton","","","","Beep Duration","ビープ音の長さ"
"Automaton","","","","Beep Frequency","ビープ音の周波数"
"Automaton","","","","Blacklisted Rules","ブラックリスト登録ルール"
"Automaton","","","","BossMod:","BossMod:"
"Automaton","","","","CC Error Requeue","CC エラー再キュー"
"Automaton","","","","CC Error Requeue##Selectable_CC Error Requeue","CC エラー再キュー##Selectable_CC Error Requeue"
"Automaton","","","","Channels","チャンネル"
"Automaton","","","","Chase","追跡"
"Automaton","","","","Chat Channels","チャットチャンネル"
"Automaton","","","","Chat Message Pattern","チャットメッセージパターン"
"Automaton","","","","Checkbox","チェックボックス"
"Automaton","","","","Click on a WT duty to open the duty finder to it. Ctrl+click to queue into the duty semi-smartly.","クロの空想帳のコンテンツをクリックすると、コンテンツファインダーが開きます。Ctrlキーを押しながらクリックすると、ある程度スマートにそのコンテンツの待機リストに登録されます。"
"Automaton","","","","Click to Move","クリックして移動"
"Automaton","","","","Click to Move##Selectable_Click to Move","クリックして移動##Selectable_Click to Move"
"Automaton","","","","Collect","収集##Collect"
"Automaton","","","","Commands","コマンド"
"Automaton","","","","Commands##Selectable_Commands","コマンド##Selectable_Commands"
"Automaton","","","","ConcertedWorks","連続"
"Automaton","","","","Configuration","設定"
"Automaton","","","","CrossLinkShell1","CrossLinkShell1"
"Automaton","","","","CrossLinkShell1##CrossLinkShell1","CrossLinkShell1##CrossLinkShell1"
"Automaton","","","","CrossLinkShell2","CrossLinkShell2"
"Automaton","","","","CrossLinkShell2##CrossLinkShell2","CrossLinkShell2##CrossLinkShell2"
"Automaton","","","","CrossLinkShell3","CrossLinkShell3"
"Automaton","","","","CrossLinkShell3##CrossLinkShell3","CrossLinkShell3##CrossLinkShell3"
"Automaton","","","","CrossLinkShell4","CrossLinkShell4"
"Automaton","","","","CrossLinkShell4##CrossLinkShell4","CrossLinkShell4##CrossLinkShell4"
"Automaton","","","","CrossLinkShell5","CrossLinkShell5"
"Automaton","","","","CrossLinkShell5##CrossLinkShell5","CrossLinkShell5##CrossLinkShell5"
"Automaton","","","","CrossLinkShell6","CrossLinkShell6"
"Automaton","","","","CrossLinkShell6##CrossLinkShell6","CrossLinkShell6##CrossLinkShell6"
"Automaton","","","","CrossLinkShell7","CrossLinkShell7"
"Automaton","","","","CrossLinkShell7##CrossLinkShell7","CrossLinkShell7##CrossLinkShell7"
"Automaton","","","","CrossLinkShell8","CrossLinkShell8"
"Automaton","","","","CrossLinkShell8##CrossLinkShell8","CrossLinkShell8##CrossLinkShell8"
"Automaton","","","","CrossParty##CrossParty","CrossParty##CrossParty"
"Automaton","","","","Ctrl","Ctrl"
"Automaton","","","","Defend","防衛"
"Automaton","","","","Delay Ms","遅延(Ms)"
"Automaton","","","","Descending (highest first)","降順 (高い順)"
"Automaton","","","","Desynth an item by ID","IDを指定してアイテムを分解する"
"Automaton","","","","Direct","ダイレクト"
"Automaton","","","","Disable If Further Than","それ以上の場合は無効にする"
"Automaton","","","","Disabled","無効"
"Automaton","","","","Display Name Format","表示名の形式"
"Automaton","","","","Distance","距離"
"Automaton","","","","Distance To Keep","キープする距離"
"Automaton","","","","Doesn't apply to grind modes","グラインドモードには適用されません"
"Automaton","","","","Don't repeat relays","リレーを繰り返さないでください"
"Automaton","","","","Don't send relays to the channel in which you clicked the relay payload.","リレーのペイロードをクリックしたそのチャンネルには、リレーを送信しないでください。"
"Automaton","","","","Drag to change priority order","ドラッグして優先順位を変更してください"
"Automaton","","","","Duty End Options","コンテンツ終了オプション"
"Automaton","","","","Duty Start Options","コンテンツ開始オプション"
"Automaton","","","","Enable sending to this channel","このチャンネルへの送信を有効にする"
"Automaton","","","","Enabled","有効"
"Automaton","","","","Enhanced Duty Start/End","強化されたコンテンツ開始/終了"
"Automaton","","","","Enhanced Duty Start/End##Selectable_Enhanced Duty Start/End","強化されたコンテンツ開始/終了##Selectable_Enhanced Duty Start/End"
"Automaton","","","","Enhanced Login","ログイン機能の強化"
"Automaton","","","","Enhanced Login##Selectable_Enhanced Login","ログイン機能の強化##Selectable_Enhanced Login"
"Automaton","","","","Equip an item by ID","IDを指定してアイテムを装備する"
"Automaton","","","","Escort","護衛"
"Automaton","","","","EventFate","イベントFATE"
"Automaton","","","","Exclude Combat##Input","戦闘を除外する##Input"
"Automaton","","","","Execute Commands","コマンドの実行"
"Automaton","","","","Extra illegal","極めて違法な"
"Automaton","","","","Faster Npc Repair All","すべてのNPCの修理を高速化"
"Automaton","","","","Faster Npc Repair All##Selectable_Faster Npc Repair All","すべてのNPCの修理を高速化##Selectable_Faster Npc Repair All"
"Automaton","","","","FATE","FATE"
