Plugin,Menu,Section,Type,English,Japanese
"CactBridge","","","","+##dps",""
"CactBridge","","","","+##tl",""
"CactBridge","","","","-##dps",""
"CactBridge","","","","-##tl",""
"CactBridge","","","","0.1x",""
"CactBridge","","","","1.0x",""
"CactBridge","","","","3.0x",""
"CactBridge","","","","Alert font","アラートフォント"
"CactBridge","","","","Appearance",""
"CactBridge","","","","Background Cactbot Browser","バックグラウンド Cactbot ブラウザ"
"CactBridge","","","","Background Cactbot Browser (Timeline)","バックグラウンド Cactbot ブラウザ (タイムライン)"
"CactBridge","","","","Background opacity","背景の不透明度"
"CactBridge","","","","Battle Talk Notifications","バトルトーク通知"
"CactBridge","","","","Callout",""
"CactBridge","","","","Callout duration (s)","コールアウト期間 (秒)"
"CactBridge","","","","Column Visibility","列の可視性"
"CactBridge","","","","Copy Overlay URL","オーバーレイ URL をコピー"
"CactBridge","","","","Copy Timeline URL","タイムラインの URL をコピー"
"CactBridge","","","","Custom — renders alerts in the ImGui overlay with per-type colours and adjustable fonts
Toast — sends alerts as real FFXIV toasts via the game's native toast system
Game Alert — displays alerts as red error toasts with timer bars (like duty warnings)
Gimmick Hint — displays alerts as native center-screen announcements with a countdown timer bar (like Limit Break)
Battle Talk — displays alerts as native in-combat dialogue boxes with a speaker name and portrait (like NPC battle dialogue)","カスタム — タイプごとの色と調整可能なフォントを使用して、ImGui オーバーレイにアラートをレンダリングします。
トースト — ゲームのネイティブ トースト システムを介して、実際の FFXIV トーストとしてアラートを送信します
ゲーム アラート — タイマー バー付きの赤いエラー トーストとしてアラートを表示します (任務の警告など)
ギミック ヒント — カウントダウン タイマー バーを備えたネイティブのセンター画面アナウンスとしてアラートを表示します (リミット ブレイクなど)
バトル トーク — スピーカーの名前とポートレートを含むネイティブの戦闘中のダイアログ ボックスとしてアラートを表示します (NPC の戦闘ダイアログと同様)"
"CactBridge","","","","Dalamud Default","Dalamud デフォルト"
"CactBridge","","","","Damage",""
"CactBridge","","","","Damage Meter","ダメージメーター"
"CactBridge","","","","Damage Meter Box Size","ダメージメーターボックスのサイズ"
"CactBridge","","","","DPS",""
"CactBridge","","","","DPS font","DPSフォント"
"CactBridge","","","","Enable Cactbot overlay","Cactbot オーバーレイを有効にする"
"CactBridge","","","","Enable Damage Meter overlay","ダメージメーターオーバーレイを有効にする"
"CactBridge","","","","Enable Timeline overlay","タイムラインオーバーレイを有効にする"
"CactBridge","","","","Enable TTS (spoken alerts)","TTS (音声アラート) を有効にする"
"CactBridge","","","","encDPS: 0  |  DPS: 0  |  ACT ✓","encDPS: 0 |  DPS: 0 |  行為 ✓"
"CactBridge","","","","FFXIV Axis (default)","FFXIV 軸 (デフォルト)"
"CactBridge","","","","Font size",""
"CactBridge","","","","Game Alert Notifications","ゲームアラート通知"
"CactBridge","","","","Gimmick Hint Notifications","ギミックヒントの通知"
"CactBridge","","","","Height",""
"CactBridge","","","","Height##dps",""
"CactBridge","","","","Height##tl",""
"CactBridge","","","","http://127.0.0.1:9876/?alerts=0&timeline=1&OVERLAY_WS=ws://127.0.0.1:10501/ws",""
"CactBridge","","","","http://127.0.0.1:9876/?alerts=1&timeline=0&OVERLAY_WS=ws://127.0.0.1:10501/ws",""
"CactBridge","","","","Job",""
"CactBridge","","","","Lock damage meter position","ダメージメーターの位置をロックする"
"CactBridge","","","","Lock overlay position",""
"CactBridge","","","","Lock timeline overlay position","タイムラインのオーバーレイ位置をロックする"
"CactBridge","","","","Look-ahead (seconds)","先読み (秒)"
"CactBridge","","","","Max visible alerts","表示可能なアラートの最大数"
"CactBridge","","","","Max visible entries","表示可能なエントリの最大数"
"CactBridge","","","","Movable config window","可動設定ウィンドウ"
"CactBridge","","","","Move mode (/cactbridge)","移動モード(/cactbridge)"
"CactBridge","","","","Move mode (Damage Meter)","移動モード（ダメージメーター）"
"CactBridge","","","","Move mode (Timeline)","移動モード（タイムライン）"
"CactBridge","","","","Name",""
"CactBridge","","","","Outline colour",""
"CactBridge","","","","Output alerts to chat as Announcement","アラートをアナウンスとしてチャットに出力"
"CactBridge","","","","Overlay Box Size","オーバーレイボックスのサイズ"
"CactBridge","","","","Overlay style","オーバーレイスタイル"
"CactBridge","","","","Override alert text colour","アラートのテキストの色を上書きする"
"CactBridge","","","","Override timeline text colour","タイムラインのテキストの色を上書きする"
"CactBridge","","","","Play for Alarm alerts","アラームアラートを再生する"
"CactBridge","","","","Play for Alert alerts","アラートアラートのためにプレイ"
"CactBridge","","","","Play for Info alerts","Play for Info アラート"
"CactBridge","","","","Position: (2743, 602)","ポジション: (2743, 602)"
"CactBridge","","","","Position: (3558, 609)","位置: (3558、609)"
"CactBridge","","","","Position: (50, 400)","位置: (50, 400)"
"CactBridge","","","","Preview: Move to safe spot.","プレビュー: 安全な場所に移動します。"
"CactBridge","","","","Preview: Stack for raidwide!","プレビュー: Raidwide 用のスタック!"
"CactBridge","","","","Reset",""
"CactBridge","","","","Reset##dps",""
"CactBridge","","","","Reset##tl",""
"CactBridge","","","","Restart Browser","ブラウザを再起動する"
"CactBridge","","","","Restart Timeline Browser","タイムラインブラウザを再起動します"
"CactBridge","","","","Select ""Battle Talk"" from the overlay style dropdown above to use native in-combat dialogue boxes with a speaker name.","スピーカー名付きのネイティブの戦闘中ダイアログ ボックスを使用するには、上のオーバーレイ スタイルのドロップダウンから「バトル トーク」を選択します。"
"CactBridge","","","","Select ""Game Alert"" from the overlay style dropdown above to use red error toasts with timer bars.","タイマー バー付きの赤いエラー トーストを使用するには、上のオーバーレイ スタイルのドロップダウンから「ゲーム アラート」を選択します。"
"CactBridge","","","","Select ""Gimmick Hint"" from the overlay style dropdown above to use native center-screen announcements with a countdown timer bar.","カウントダウン タイマー バーを備えたネイティブのセンター画面アナウンスを使用するには、上のオーバーレイ スタイル ドロップダウンから [ギミック ヒント] を選択します。"
"CactBridge","","","","Server Info Bar","サーバー情報バー"
"CactBridge","","","","Show deaths column","死亡列を表示"
