Plugin,Menu,Section,Type,English,Japanese
"DeserokUtils","","","","    /micon ""Phoenix Down""  or  /micon ""Phoenix Down"" item",""
"DeserokUtils","","","","    563 of 4,000 achievements (14.1%) count as rare","4,000 件の実績のうち 563 件 (14.1%) がレアとしてカウントされます"
"DeserokUtils","","","","    a macro called ""Phoenix Down"" gets that icon with no line at all","「Phoenix Down」というマクロは、線のないアイコンを取得します。"
"DeserokUtils","","","","""Angel Wings""","「天使の羽」"
"DeserokUtils","","","","""Angel""","""天使"""
"DeserokUtils","","","","""Wings""","「翼」"
"DeserokUtils","","","","(/dsu debug)","(/dsu デバッグ)"
"DeserokUtils","","","","+ Add a person##cc","+ 人を追加##cc"
"DeserokUtils","","","","+ Add a person##marks","+ 人を追加##marks"
"DeserokUtils","","","","+ Watch a status##debuffs","+ ステータスを見る##debuffs"
"DeserokUtils","","","","+##fcb_add",""
"DeserokUtils","","","","--any",""
"DeserokUtils","","","","--notself",""
"DeserokUtils","","","","--party",""
"DeserokUtils","","","","--self",""
"DeserokUtils","","","","/dsuitem ""Hi-Potion""",""
"DeserokUtils","","","","/dsuitem ""Phoenix Down"" <t>",""
"DeserokUtils","","","","/dsuitem -- use an item on a target from a macro. The game has no command for this at all; combine with /ifmo for mouseover.",""
"DeserokUtils","","","","/ifmo -- pick the first target the action would actually land on. {mo|2|noop} in one line instead of a fallback chain.",""
"DeserokUtils","","","","/ifmo /ac ""Heart of Corundum"" {mo|2|noop}",""
"DeserokUtils","","","","/ifmo /ac Clemency {mo}",""
"DeserokUtils","","","","/ifmo /ac Cover {mo|2}",""
"DeserokUtils","","","","/ifmo /dsuitem ""Phoenix Down"" {mo|t}",""
"DeserokUtils","","","","/ifwatch",""
"DeserokUtils","","","","/ifwatch /p Aurora on {who}",""
"DeserokUtils","","","","/ifwatch <command>",""
"DeserokUtils","","","","/watch",""
"DeserokUtils","","","","/watch ""Nascent Flash""
/ac ""Nascent Flash"" <t>
/wait 1
/ifwatch /p Nascent Flash on {who}",""
"DeserokUtils","","","","/watch + /ifwatch -- run a macro line only if the action actually went off, including instants with no cast bar.",""
"DeserokUtils","","","","/watch <action>",""
