Plugin,Menu,Section,Type,English,Japanese
"MarketBoardPlugin","","","","Automatically select the item hovered in any of the in-game inventory window after 1 second.","ゲーム内のインベントリ ウィンドウのいずれかにホバーされているアイテムが 1 秒後に自動的に選択されます。"
"MarketBoardPlugin","","","","Background Blur","背景ぼかし"
"MarketBoardPlugin","","","","Context menu integration","コンテキストメニューの統合"
"MarketBoardPlugin","","","","Disable Recent History","最近の履歴を無効にする"
"MarketBoardPlugin","","","","Gil Icon Shown","ギルアイコン表示"
"MarketBoardPlugin","","","","Hide Ko-Fi button",""
"MarketBoardPlugin","","","","History count :","履歴数:"
"MarketBoardPlugin","","","","Include Oceania DC","オセアニア DC を含む"
"MarketBoardPlugin","","","","Item buffer Timeout (ms) :","アイテムバッファのタイムアウト (ミリ秒) :"
"MarketBoardPlugin","","","","Listing count :","出品数："
"MarketBoardPlugin","","","","Make clickthrough","クリックスルーを実現する"
"MarketBoardPlugin","","","","No Gil Sales Tax","ギル売上税なし"
"MarketBoardPlugin","","","","Opacity",""
"MarketBoardPlugin","","","","Open this menu again by clicking the three dashes to disable clickthrough.","3 つのダッシュをクリックしてクリックスルーを無効にして、このメニューを再度開きます。"
"MarketBoardPlugin","","","","Pin Window","ピンウィンドウ"
"MarketBoardPlugin","","","","Print window","印刷ウィンドウ"
"MarketBoardPlugin","","","","Toggles whether context menu integration is enabled","コンテキスト メニューの統合を有効にするかどうかを切り替えます"
"MarketBoardPlugin","","","","Toggles whether the Gil icon is shown","ギルアイコンの表示/非表示を切り替えます"
"MarketBoardPlugin","","","","Toggles whether the Gil Sales Tax is included","ギル消費税を含むかどうかを切り替えます"
"MarketBoardPlugin","","","","Toggles whether the Ko-Fi button should be hidden","Ko-Fi ボタンを非表示にするかどうかを切り替えます"
"MarketBoardPlugin","","","","Toggles whether the Oceania DC should be included in the Cross-DC filter","オセアニア DC を Cross-DC フィルターに含めるかどうかを切り替えます"
"MarketBoardPlugin","","","","Toggles whether the recent history is disabled","最近の履歴を無効にするかどうかを切り替えます"
"MarketBoardPlugin","","","","Watch for hovered item","ホバーされたアイテムに注目してください"
