Plugin,Menu,Section,Type,English,Japanese
"NearbyPlayerList","","",""," by joshua88wa",""
"NearbyPlayerList","","","","(0 = unlimited)","(0 = 無制限)"
"NearbyPlayerList","","","","(hold Ctrl)","(Ctrl キーを押したまま)"
"NearbyPlayerList","","","","/npl center brings the list back on screen",""
"NearbyPlayerList","","","","/npl config opens this window",""
"NearbyPlayerList","","","","/npl toggles the list",""
"NearbyPlayerList","","","","0.0 yalms away","0.0ヤルム離れています"
"NearbyPlayerList","","","","0.8 yalms away","0.8ヤルム離れています"
"NearbyPlayerList","","","","10.6 yalms away","10.6ヤム離れています"
"NearbyPlayerList","","","","126,738 / 126,738 HP","126,738 / 126,738 馬力"
"NearbyPlayerList","","","","16.0 yalms away","16.0ヤルム離れたところ"
"NearbyPlayerList","","","","18.3 yalms away","18.3ヤム離れたところ"
"NearbyPlayerList","","","","199,530 / 199,530 HP",""
"NearbyPlayerList","","","","2.3 yalms away","ヤムスから 2.3 メートル"
"NearbyPlayerList","","","","20.7 yalms away","20.7ヤルム離れています"
"NearbyPlayerList","","","","20.9 yalms away",""
"NearbyPlayerList","","","","206,833 / 206,833 HP",""
"NearbyPlayerList","","","","215,952 / 215,952 HP","215,952 / 215,952 馬力"
"NearbyPlayerList","","","","23.4 yalms away",""
"NearbyPlayerList","","","","263,628 / 263,628 HP","263,628 / 263,628 馬力"
"NearbyPlayerList","","","","296,839 / 296,839 HP","296,839 / 296,839 馬力"
"NearbyPlayerList","","","","296,882 / 296,882 HP","296,882 / 296,882 馬力"
"NearbyPlayerList","","","","297,039 / 297,039 HP","297,039 / 297,039 馬力"
"NearbyPlayerList","","","","4.5 yalms away","ヤムスから 4.5 メートル"
"NearbyPlayerList","","","","4.7 yalms away","ヤムスから4.7メートル"
"NearbyPlayerList","","","","5.0 yalms away","5.0ヤルム離れたところ"
"NearbyPlayerList","","","","5.2 yalms away","ヤムスから5.2メートル"
"NearbyPlayerList","","","","5.3 yalms away","ヤムスから 5.3 メートル"
"NearbyPlayerList","","","","5.5 yalms away","ヤムスから5.5メートル"
"NearbyPlayerList","","","","5.8 yalms away","ヤムスから5.8メートル"
"NearbyPlayerList","","","","6,266 / 6,266 HP",""
"NearbyPlayerList","","","","6.0 yalms away","6.0ヤルム離れたところ"
"NearbyPlayerList","","","","6.3 yalms away","6.3ヤム離れたところ"
"NearbyPlayerList","","","","6.5 yalms away","6.5ヤム離れたところ"
"NearbyPlayerList","","","","6.7 yalms away","6.7ヤルム離れています"
"NearbyPlayerList","","","","7.0 yalms away","7.0ヤルム離れたところ"
"NearbyPlayerList","","","","7.2 yalms away","ヤムスから 7.2 メートル"
"NearbyPlayerList","","","","7.5 yalms away","ヤルム7.5メートル離れたところ"
"NearbyPlayerList","","","","7.7 yalms away","7.7ヤルム離れています"
"NearbyPlayerList","","","","9,985 / 9,985 HP","9,985 / 9,985馬力"
"NearbyPlayerList","","","","A hide, settings and help strip pinned to the corner the list grows away from. Hovering always works; clicking needs the modifier below, so you cannot hide the list by misclicking next to a player box.","非表示、設定、およびヘルプ ストリップは、リストから遠ざかる隅に固定されています。ホバリングは常に機能します。クリックするには以下の修飾子が必要なので、プレーヤー ボックスの横の誤クリックによってリストを非表示にすることはできません。"
"NearbyPlayerList","","","","Abdiel Berus","アブディエルブラシ"
