Plugin,Menu,Section,Type,English,Japanese
"SomethingNeedDoing","","","","/action",""
"SomethingNeedDoing","","","","/callback",""
"SomethingNeedDoing","","","","/click",""
"SomethingNeedDoing","","","","/click AirShipExploration Deploy",""
"SomethingNeedDoing","","","","/click AirShipExplorationDetail Cancel",""
"SomethingNeedDoing","","","","/click AirShipExplorationDetail Deploy",""
"SomethingNeedDoing","","","","/click AirShipExplorationResult FinalizeReport",""
"SomethingNeedDoing","","","","/click AirShipExplorationResult Redeploy",""
"SomethingNeedDoing","","","","/click Bank Cancel",""
"SomethingNeedDoing","","","","/click Bank Proceed",""
"SomethingNeedDoing","","","","/click BankaCraftworksSupply Cancel",""
"SomethingNeedDoing","","","","/click BankaCraftworksSupply Deliver",""
"SomethingNeedDoing","","","","/click BankaCraftworksSupply TryHandOver",""
"SomethingNeedDoing","","","","/click BannerEditor Close",""
"SomethingNeedDoing","","","","/click BannerEditor Save",""
"SomethingNeedDoing","","","","/click BannerList DisplayHelp",""
"SomethingNeedDoing","","","","/click BannerList Edit",""
"SomethingNeedDoing","","","","/click BannerList Portrait",""
"SomethingNeedDoing","","","","/click BannerList UseAsInstantPortrait",""
"SomethingNeedDoing","","","","/click BannerMIP Cancel",""
"SomethingNeedDoing","","","","/click BannerMIP Ok",""
"SomethingNeedDoing","","","","/click BannerMIP Settings",""
"SomethingNeedDoing","","","","/click BannerPreview Cancel",""
"SomethingNeedDoing","","","","/click BannerPreview Update",""
"SomethingNeedDoing","","","","/click CollectablesShop SelectDiscipleTab",""
"SomethingNeedDoing","","","","/click CollectablesShop Trade",""
"SomethingNeedDoing","","","","/click ColorantColoring Apply",""
"SomethingNeedDoing","","","","/click ColorantColoring SelectAnother",""
"SomethingNeedDoing","","","","/click CompanyCraftRecipeNoteBook Begin",""
"SomethingNeedDoing","","","","/click CompanyCraftSupply Close",""
"SomethingNeedDoing","","","","/click ContentsFinderConfirm Commence",""
"SomethingNeedDoing","","","","/click ContentsFinderConfirm Wait",""
"SomethingNeedDoing","","","","/click ContentsFinderConfirm Withdraw",""
"SomethingNeedDoing","","","","/click ContentsFinderSetting Close",""
"SomethingNeedDoing","","","","/click ContentsFinderSetting Confirm",""
"SomethingNeedDoing","","","","/click ContentsFinderStatus Withdraw",""
"SomethingNeedDoing","","","","/click ContextMenu Entries",""
"SomethingNeedDoing","","","","/click Dialogue Ok",""
"SomethingNeedDoing","","","","/click DifficultySelectYesNo Leave",""
"SomethingNeedDoing","","","","/click DifficultySelectYesNo Proceed",""
"SomethingNeedDoing","","","","/click DifficultySelectYesNo SetDifficultyEasy",""
"SomethingNeedDoing","","","","/click DifficultySelectYesNo SetDifficultyNormal",""
"SomethingNeedDoing","","","","/click DifficultySelectYesNo SetDifficultyVeryEasy",""
"SomethingNeedDoing","","","","/click FreeCompanyCreditShop Buy",""
"SomethingNeedDoing","","","","/click FreeCompanyCreditShop Items",""
"SomethingNeedDoing","","","","/click Gathering GatheredItems",""
"SomethingNeedDoing","","","","/click GatheringMasterpiece Help",""
"SomethingNeedDoing","","","","/click GatheringMasterpiece Return",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Arcanist",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Archer",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Conjurer",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Gladiator",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Lancer",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Marauder",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Pugilist",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Rogue",""
"SomethingNeedDoing","","","","/click GcArmyChangeClass Thaumaturge",""
"SomethingNeedDoing","","","","/click GcArmyExpedition Deploy",""
"SomethingNeedDoing","","","","/click GcArmyExpeditionResult Complete",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile ChangeClass",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile Close",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile ConfirmChemistry",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile Dismiss",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile DisplayOrders",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile Outfit",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile Postpone",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile Question",""
"SomethingNeedDoing","","","","/click GcArmyMenberProfile ViewMembers",""
"SomethingNeedDoing","","","","/click GcArmyTraining Close",""
"SomethingNeedDoing","","","","/click GearSetList CreateNewGearset",""
"SomethingNeedDoing","","","","/click GearSetList DisplayHelp",""
"SomethingNeedDoing","","","","/click GearSetList EquipSet",""
"SomethingNeedDoing","","","","/click GearSetList Refresh",""
"SomethingNeedDoing","","","","/click GrandCompanySupplyReward Deliver",""
"SomethingNeedDoing","","","","/click InclusionShop ShopItems",""
"SomethingNeedDoing","","","","/click InputNumeric Cancel",""
"SomethingNeedDoing","","","","/click InputNumeric Ok",""
"SomethingNeedDoing","","","","/click Inventory OpenArmoryChest",""
"SomethingNeedDoing","","","","/click InventoryExpansion OpenArmoryChest",""
"SomethingNeedDoing","","","","/click InventoryLarge OpenArmoryChest",""
"SomethingNeedDoing","","","","/click ItemDetailCompare Close",""
"SomethingNeedDoing","","","","/click ItemFinder Close",""
"SomethingNeedDoing","","","","/click ItemInspectionResult Close",""
"SomethingNeedDoing","","","","/click ItemInspectionResult Next",""
"SomethingNeedDoing","","","","/click ItemSearchResult Entries",""
"SomethingNeedDoing","","","","/click JournalAccept Accept",""
"SomethingNeedDoing","","","","/click JournalAccept Decline",""
"SomethingNeedDoing","","","","/click JournalDetail AbandonDecline",""
"SomethingNeedDoing","","","","/click JournalDetail AcceptMap",""
"SomethingNeedDoing","","","","/click JournalDetail Initiate",""
"SomethingNeedDoing","","","","/click JournalResult Complete",""
"SomethingNeedDoing","","","","/click JournalResult Decline",""
"SomethingNeedDoing","","","","/click LetterHistory Close",""
"SomethingNeedDoing","","","","/click LetterList DeliveryRequest",""
"SomethingNeedDoing","","","","/click LetterList New",""
"SomethingNeedDoing","","","","/click LetterList SentLetterHistory",""
"SomethingNeedDoing","","","","/click LetterViewer Delete",""
"SomethingNeedDoing","","","","/click LetterViewer Items",""
"SomethingNeedDoing","","","","/click LetterViewer Reply",""
"SomethingNeedDoing","","","","/click LetterViewer TakeAll",""
"SomethingNeedDoing","","","","/click LookingForGroup RecruitMembersOrDetails",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition Alliance",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition Cancel",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition Normal",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition Recruit",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition Reset",""
"SomethingNeedDoing","","","","/click LookingForGroupCondition SelectDutyCategory",""
"SomethingNeedDoing","","","","/click LookingForGroupDetail Back",""
"SomethingNeedDoing","","","","/click LookingForGroupDetail JoinEdit",""
"SomethingNeedDoing","","","","/click LookingForGroupDetail TellEnd",""
"SomethingNeedDoing","","","","/click LookingForGroupPrivate Cancel",""
"SomethingNeedDoing","","","","/click LookingForGroupPrivate Join",""
"SomethingNeedDoing","","","","/click LotteryWeeklyInput Purchase",""
"SomethingNeedDoing","","","","/click LotteryWeeklyInput Random",""
"SomethingNeedDoing","","","","/click LotteryWeeklyRewardList Close",""
"SomethingNeedDoing","","","","/click LotteryWeeklyRewardList Rewards",""
"SomethingNeedDoing","","","","/click ManeuversArmorBoarding BruteJustice",""
"SomethingNeedDoing","","","","/click ManeuversArmorBoarding CruiseChaser",""
"SomethingNeedDoing","","","","/click ManeuversArmorBoarding Mount",""
"SomethingNeedDoing","","","","/click ManeuversArmorBoarding Oppressor",""
"SomethingNeedDoing","","","","/click ManeuversRecord Leave",""
"SomethingNeedDoing","","","","/click MateriaAttachDialog Meld",""
"SomethingNeedDoing","","","","/click MateriaAttachDialog Return",""
"SomethingNeedDoing","","","","/click MaterializeDialog Materialize",""
"SomethingNeedDoing","","","","/click MaterializeDialog No",""
"SomethingNeedDoing","","","","/click MateriaRetrieveDialog Begin",""
"SomethingNeedDoing","","","","/click MateriaRetrieveDialog Return",""
"SomethingNeedDoing","","","","/click MiragePrismExecute Cast",""
"SomethingNeedDoing","","","","/click MiragePrismExecute Return",""
"SomethingNeedDoing","","","","/click MiragePrismMiragePlateConfirm No",""
"SomethingNeedDoing","","","","/click MiragePrismMiragePlateConfirm Yes",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvert Close",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvert Items",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvert StoreAsGlamour",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvert TryHandOver",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvertC No",""
"SomethingNeedDoing","","","","/click MiragePrismPrismSetConvertC Yes",""
"SomethingNeedDoing","","","","/click MiragePrismRemove Dispel",""
"SomethingNeedDoing","","","","/click MiragePrismRemove Return",""
"SomethingNeedDoing","","","","/click MJIDisposeShop ExportItems",""
"SomethingNeedDoing","","","","/click MJIHud Guide",""
"SomethingNeedDoing","","","","/click MJIHud Isleventory",""
"SomethingNeedDoing","","","","/click MJIHud ManageFurnishing",""
"SomethingNeedDoing","","","","/click MJIHud ManageHideaway",""
"SomethingNeedDoing","","","","/click MJIHud ManageMinions",""
"SomethingNeedDoing","","","","/click MJIHud MaterialAllocation",""
"SomethingNeedDoing","","","","/click MJIHud SanctuaryCraftingLog",""
"SomethingNeedDoing","","","","/click MJIHud SanctuaryGatheringLog",""
"SomethingNeedDoing","","","","/click MJIRecipeNoteBook Craft",""
"SomethingNeedDoing","","","","/click MoogleCollection AccessSpecialSite",""
"SomethingNeedDoing","","","","/click MoogleCollection OpenAreaMap",""
"SomethingNeedDoing","","","","/click MoogleCollection OpenDutyFinder",""
"SomethingNeedDoing","","","","/click MoogleCollection Rewards",""
"SomethingNeedDoing","","","","/click PurifyAutoDialog CancelExit",""
"SomethingNeedDoing","","","","/click PurifyResult Automatic",""
"SomethingNeedDoing","","","","/click PurifyResult Close",""
"SomethingNeedDoing","","","","/click PvpProfile SeriesMalmstones",""
"SomethingNeedDoing","","","","/click PvpReward Close",""
"SomethingNeedDoing","","","","/click RecipeNote Material",""
"SomethingNeedDoing","","","","/click RecipeNote QuickSynthesis",""
"SomethingNeedDoing","","","","/click RecipeNote Synthesize",""
"SomethingNeedDoing","","","","/click RecipeNote TrialSynthesis",""
"SomethingNeedDoing","","","","/click RecommendEquip Cancel",""
"SomethingNeedDoing","","","","/click RecommendEquip Equip",""
"SomethingNeedDoing","","","","/click RelicNoteBook Dungeons",""
"SomethingNeedDoing","","","","/click RelicNoteBook Enemies",""
"SomethingNeedDoing","","","","/click RelicNoteBook Fates",""
"SomethingNeedDoing","","","","/click RelicNoteBook Leves",""
"SomethingNeedDoing","","","","/click Repair RepairAll",""
"SomethingNeedDoing","","","","/click Request Cancel",""
"SomethingNeedDoing","","","","/click Request HandOver",""
"SomethingNeedDoing","","","","/click RetainerItemTransferList Cancel",""
"SomethingNeedDoing","","","","/click RetainerItemTransferList Confirm",""
"SomethingNeedDoing","","","","/click RetainerItemTransferProgress Close",""
"SomethingNeedDoing","","","","/click RetainerList Retainers",""
"SomethingNeedDoing","","","","/click RetainerSell Cancel",""
"SomethingNeedDoing","","","","/click RetainerSell ComparePrices",""
"SomethingNeedDoing","","","","/click RetainerSell Confirm",""
"SomethingNeedDoing","","","","/click RetainerTaskAsk Assign",""
"SomethingNeedDoing","","","","/click RetainerTaskAsk Return",""
"SomethingNeedDoing","","","","/click RetainerTaskResult Confirm",""
"SomethingNeedDoing","","","","/click RetainerTaskResult Reassign",""
"SomethingNeedDoing","","","","/click ReturnerDialog Accept",""
"SomethingNeedDoing","","","","/click ReturnerDialog DecideLater",""
"SomethingNeedDoing","","","","/click ReturnerDialog Decline",""
"SomethingNeedDoing","","","","/click SalvageAutoDialog EndDesynthesis",""
"SomethingNeedDoing","","","","/click SalvageDialog Cancel",""
"SomethingNeedDoing","","","","/click SalvageDialog Checkbox",""
"SomethingNeedDoing","","","","/click SalvageDialog Desynthesize",""
"SomethingNeedDoing","","","","/click SalvageResult Close",""
"SomethingNeedDoing","","","","/click SatisfactionSupplyResult Accept",""
"SomethingNeedDoing","","","","/click SelectIconString Entries",""
"SomethingNeedDoing","","","","/click SelectIconString Entry1",""
"SomethingNeedDoing","","","","/click SelectIconString Entry10",""
"SomethingNeedDoing","","","","/click SelectIconString Entry11",""
"SomethingNeedDoing","","","","/click SelectIconString Entry12",""
"SomethingNeedDoing","","","","/click SelectIconString Entry2",""
"SomethingNeedDoing","","","","/click SelectIconString Entry3",""
"SomethingNeedDoing","","","","/click SelectIconString Entry4",""
"SomethingNeedDoing","","","","/click SelectIconString Entry5",""
"SomethingNeedDoing","","","","/click SelectIconString Entry6",""
"SomethingNeedDoing","","","","/click SelectIconString Entry7",""
"SomethingNeedDoing","","","","/click SelectIconString Entry8",""
"SomethingNeedDoing","","","","/click SelectIconString Entry9",""
"SomethingNeedDoing","","","","/click SelectOk Ok",""
"SomethingNeedDoing","","","","/click SelectString Entries",""
"SomethingNeedDoing","","","","/click SelectYesno No",""
"SomethingNeedDoing","","","","/click SelectYesno Third",""
"SomethingNeedDoing","","","","/click SelectYesno Yes",""
"SomethingNeedDoing","","","","/click Shop ShopItems",""
"SomethingNeedDoing","","","","/click ShopCardDialog Cancel",""
"SomethingNeedDoing","","","","/click ShopCardDialog Sell",""
"SomethingNeedDoing","","","","/click ShopExchangeCurrency BasicShopItems",""
"SomethingNeedDoing","","","","/click ShopExchangeCurrencyDialog Cancel",""
"SomethingNeedDoing","","","","/click ShopExchangeCurrencyDialog Exchange",""
"SomethingNeedDoing","","","","/click ShopExchangeItemDialog Cancel",""
"SomethingNeedDoing","","","","/click ShopExchangeItemDialog Exchange",""
"SomethingNeedDoing","","","","/click SubmarineExplorationMapSelect Entries",""
"SomethingNeedDoing","","","","/click SynthesisSimpleDialog Cancel",""
"SomethingNeedDoing","","","","/click SynthesisSimpleDialog Synthesize",""
"SomethingNeedDoing","","","","/click Talk Click",""
"SomethingNeedDoing","","","","/click TitleDCWorldMap Select",""
"SomethingNeedDoing","","","","/click TitleDCWorldMap UncheckedSelect",""
"SomethingNeedDoing","","","","/click TreasureHighLow Close",""
"SomethingNeedDoing","","","","/click TreasureHighLow OpenChest",""
"SomethingNeedDoing","","","","/click TreasureHighLow TryLuck",""
"SomethingNeedDoing","","","","/click TripleTriadRequest Challenge",""
"SomethingNeedDoing","","","","/click TripleTriadRequest Quit",""
"SomethingNeedDoing","","","","/click TripleTriadResult Quit",""
"SomethingNeedDoing","","","","/click TripleTriadResult Rematch",""
"SomethingNeedDoing","","","","/click VoteMvp Cancel",""
"SomethingNeedDoing","","","","/click VoteMvp Ok",""
"SomethingNeedDoing","","","","/click VoteMvp Settings",""
"SomethingNeedDoing","","","","/click VVDVoteRoute Entries",""
"SomethingNeedDoing","","","","/click WeeklyBingoResult Accept",""
"SomethingNeedDoing","","","","/click WeeklyBingoResult Cancel",""
"SomethingNeedDoing","","","","/click WKSHud ClassTracker",""
"SomethingNeedDoing","","","","/click WKSHud Infrastructor",""
"SomethingNeedDoing","","","","/click WKSHud Mech",""
"SomethingNeedDoing","","","","/click WKSHud Mission",""
"SomethingNeedDoing","","","","/click WKSHud Research",""
"SomethingNeedDoing","","","","/click WKSHud Steller",""
"SomethingNeedDoing","","","","/click WKSLottery ConfirmButton",""
"SomethingNeedDoing","","","","/click WKSLottery LeftWheelItems",""
"SomethingNeedDoing","","","","/click WKSLottery RightWheelItems",""
"SomethingNeedDoing","","","","/click WKSLottery SelectWheelLeft",""
"SomethingNeedDoing","","","","/click WKSMission BasicMissions",""
"SomethingNeedDoing","","","","/click WKSMission CriticalMissions",""
"SomethingNeedDoing","","","","/click WKSMission Help",""
"SomethingNeedDoing","","","","/click WKSMission MissionLog",""
"SomethingNeedDoing","","","","/click WKSMission MissionSelection",""
"SomethingNeedDoing","","","","/click WKSMission ProvisionalMissions",""
"SomethingNeedDoing","","","","/click WKSMission SelectClass",""
"SomethingNeedDoing","","","","/click WKSMission StellerMissions",""
"SomethingNeedDoing","","","","/click WKSMissionInfomation Abandon",""
"SomethingNeedDoing","","","","/click WKSMissionInfomation CosmoCraftingLog",""
"SomethingNeedDoing","","","","/click WKSMissionInfomation CosmoPouch",""
"SomethingNeedDoing","","","","/click WKSMissionInfomation Report",""
"SomethingNeedDoing","","","","/click WKSMissionInfomation StellerReduction",""
"SomethingNeedDoing","","","","/click WKSRecipeNotebook CraftingItems",""
"SomethingNeedDoing","","","","/click WKSRecipeNotebook HQItemInput",""
"SomethingNeedDoing","","","","/click WKSRecipeNotebook NQItemInput",""
"SomethingNeedDoing","","","","/click WKSRecipeNotebook Synthesize",""
"SomethingNeedDoing","","","","/click WKSToolCustomize ClassList",""
"SomethingNeedDoing","","","","/click WorldTravelFinderStatus Cancel",""
"SomethingNeedDoing","","","","/click _CharaSelectListMenu BackUpClientSettings",""
"SomethingNeedDoing","","","","/click _CharaSelectListMenu Characters",""
"SomethingNeedDoing","","","","/click _CharaSelectListMenu NewCharacter",""
"SomethingNeedDoing","","","","/click _CharaSelectListMenu SelectWorld",""
"SomethingNeedDoing","","","","/click _CharaSelectListMenu World",""
"SomethingNeedDoing","","","","/click _CharaSelectWorldServer Worlds",""
"SomethingNeedDoing","","","","/click _TitleMenu DataCenter",""
"SomethingNeedDoing","","","","/click _TitleMenu Exit",""
"SomethingNeedDoing","","","","/click _TitleMenu License",""
"SomethingNeedDoing","","","","/click _TitleMenu MoviesAndTitles",""
"SomethingNeedDoing","","","","/click _TitleMenu Options",""
"SomethingNeedDoing","","","","/click _TitleMenu Start",""
"SomethingNeedDoing","","","","/equipitem",""
"SomethingNeedDoing","","","","/gate",""
"SomethingNeedDoing","","","","/hold",""
"SomethingNeedDoing","","","","/interact",""
"SomethingNeedDoing","","","","/item",""
"SomethingNeedDoing","","","","/keyitem",""
"SomethingNeedDoing","","","","/loop",""
"SomethingNeedDoing","","","","/pcraft",""
"SomethingNeedDoing","","","","/recipe",""
"SomethingNeedDoing","","","","/release",""
"SomethingNeedDoing","","","","/require",""
"SomethingNeedDoing","","","","/requirerepair",""
"SomethingNeedDoing","","","","/requirespiritbond",""
"SomethingNeedDoing","","","","/runmacro",""
"SomethingNeedDoing","","","","/send",""
"SomethingNeedDoing","","","","/send A",""
"SomethingNeedDoing","","","","/send ADD",""
"SomethingNeedDoing","","","","/send APPS",""
"SomethingNeedDoing","","","","/send B",""
"SomethingNeedDoing","","","","/send BACK",""
"SomethingNeedDoing","","","","/send C",""
"SomethingNeedDoing","","","","/send CAPITAL",""
"SomethingNeedDoing","","","","/send CONTROL",""
