Plugin,Menu,Section,Type,English,Japanese
"TextToTalk","","","","Action",""
"TextToTalk","","","","Action Readied By Engaged Enemy","交戦中の敵により行動準備完了"
"TextToTalk","","","","Action Readied By You","あなたが準備できるアクション"
"TextToTalk","","","","Action Used By Other Player","他のプレイヤーが使用したアクション"
"TextToTalk","","","","Action Used On You","あなたに対して行われた行為"
"TextToTalk","","","","Add Exclusion###CB1326D0C423803A","除外を追加###CB1326D0C423803A"
"TextToTalk","","","","Add NPC##DAC3B11BF9AFD48F","NPC##DAC3B11BF9AFD48Fを追加"
"TextToTalk","","","","Add player##9413DC7FCD7F0D08","プレイヤーを追加##9413DC7FCD7F0D08"
"TextToTalk","","","","Add Trigger###7D94183079E41953","トリガー###7D94183079E41953を追加"
"TextToTalk","","","","Alarm",""
"TextToTalk","","","","Alliance",""
"TextToTalk","","","","Also check out NaturalVoiceSAPIAdapter!##6CA4D230855C49E0","NaturalVoiceSAPIAdapter もチェックしてください!##6CA4D230855C49E0"
"TextToTalk","","","","Alt",""
"TextToTalk","","","","ANGEL",""
"TextToTalk","","","","Angel Wings","天使の羽"
"TextToTalk","","","","Attempt to remove stutter from NPC dialogue (default: On)","NPC ダイアログからスタッターを削除しようとします (デフォルト: オン)"
"TextToTalk","","","","Audio Output Device##298A9510A29F0E58##AudioDevices","オーディオ出力デバイス##298A9510A29F0E58##AudioDevices"
"TextToTalk","","","","Beneficial Effect On Other Player","他のプレイヤーへの有利な効果"
"TextToTalk","","","","Beneficial Effect On Other Player Ended","他のプレイヤーへの恩恵は終了しました"
"TextToTalk","","","","Beneficial Effect On You","あなたへの有益な効果"
"TextToTalk","","","","Beneficial Effect On You Ended","あなたへの有益な効果は終了しました"
"TextToTalk","","","","Channel Settings","チャンネル設定"
"TextToTalk","","","","Character Progress","キャラクターの進行状況"
"TextToTalk","","","","Crafting",""
"TextToTalk","","","","Cross Link Shell 1","クロスリンクシェル1"
"TextToTalk","","","","Cross Link Shell 2","クロスリンクシェル2"
"TextToTalk","","","","Cross Link Shell 3","クロスリンクシェル3"
"TextToTalk","","","","Cross Link Shell 4","クロスリンクシェル4"
"TextToTalk","","","","Cross Link Shell 5","クロスリンクシェル5"
"TextToTalk","","","","Cross Link Shell 6","クロスリンクシェル6"
"TextToTalk","","","","Cross Link Shell 7","クロスリンクシェル7"
"TextToTalk","","","","Cross Link Shell 8","クロスリンクシェル8"
"TextToTalk","","","","Cross Party","クロス パーティ"
"TextToTalk","","","","Custom Emote","カスタムエモート"
"TextToTalk","","","","Damage",""
"TextToTalk","","","","Damage Dealt By You","あなたが与えたダメージ"
"TextToTalk","","","","Damage You Are Dealt","与えられるダメージ"
"TextToTalk","","","","Debug",""
