Plugin,Menu,Section,Type,English,Japanese
"WaymarkStudio","","","","(Drag to reorder)","(ドラッグして並べ替えます)"
"WaymarkStudio","","","","(Stand Middle) Static Intermission","(スタンドミドル) 静的休憩"
"WaymarkStudio","","","","1A式",""
"WaymarkStudio","","","","1層",""
"WaymarkStudio","","","","2021/09/06 19:54:52 +09:00 (1835d)",""
"WaymarkStudio","","","","2021/09/06 20:19:12 +09:00 (1835d)",""
"WaymarkStudio","","","","2022/04/15 5:21:01 +09:00 (1614d)",""
"WaymarkStudio","","","","2022/04/16 0:16:52 +09:00 (1614d)",""
"WaymarkStudio","","","","2022/04/16 17:28:46 +09:00 (1613d)",""
"WaymarkStudio","","","","2022/09/21 9:57:58 +09:00 (1455d)",""
"WaymarkStudio","","","","2023/03/21 4:17:50 +09:00 (1275d)",""
"WaymarkStudio","","","","2023/05/24 17:21:21 +09:00 (1210d)",""
"WaymarkStudio","","","","2023/06/17 22:34:32 +09:00 (1186d)",""
"WaymarkStudio","","","","2023/10/06 22:46:33 +09:00 (1075d)",""
"WaymarkStudio","","","","2023/12/25 22:56:59 +09:00 (995d)",""
"WaymarkStudio","","","","2023/12/29 19:25:06 +09:00 (991d)",""
"WaymarkStudio","","","","2023/12/29 19:26:39 +09:00 (991d)",""
"WaymarkStudio","","","","2024/07/04 23:43:13 +09:00 (803d)",""
"WaymarkStudio","","","","2024/11/13 18:56:41 +09:00 (671d)",""
"WaymarkStudio","","","","2024/12/31 23:39:05 +09:00 (623d)",""
"WaymarkStudio","","","","2025/03/26 22:03:47 +09:00 (538d)",""
"WaymarkStudio","","","","2025/04/02 2:02:23 +09:00 (532d)",""
"WaymarkStudio","","","","2025/04/15 14:16:32 +09:00 (518d)",""
"WaymarkStudio","","","","2025/04/18 23:44:37 +09:00 (515d)",""
"WaymarkStudio","","","","2026/01/30 22:30:18 +09:00 (228d)",""
"WaymarkStudio","","","","2026/02/10 8:30:46 +09:00 (217d)",""
"WaymarkStudio","","","","2026/02/10 8:32:29 +09:00 (217d)",""
"WaymarkStudio","","","","2026/02/18 22:36:47 +09:00 (209d)",""
"WaymarkStudio","","","","2026/03/06 16:20:17 +09:00 (193d)",""
"WaymarkStudio","","","","2026/03/11 14:41:33 +09:00 (188d)",""
"WaymarkStudio","","","","2026/03/13 19:59:59 +09:00 (186d)",""
"WaymarkStudio","","","","2026/04/03 17:12:30 +09:00 (165d)",""
"WaymarkStudio","","","","2026/04/16 0:42:58 +09:00 (153d)",""
"WaymarkStudio","","","","2026/04/16 0:43:28 +09:00 (153d)",""
"WaymarkStudio","","","","2026/04/22 17:10:46 +09:00 (146d)",""
"WaymarkStudio","","","","2026/05/09 13:01:51 +09:00 (129d)",""
"WaymarkStudio","","","","2026/05/09 18:38:14 +09:00 (129d)",""
"WaymarkStudio","","","","2026/05/09 19:15:59 +09:00 (129d)",""
"WaymarkStudio","","","","2026/05/09 19:37:39 +09:00 (129d)",""
"WaymarkStudio","","","","2026/05/09 19:47:23 +09:00 (129d)",""
"WaymarkStudio","","","","2026/05/15 1:28:07 +09:00 (124d)",""
"WaymarkStudio","","","","2026/05/15 1:44:18 +09:00 (124d)",""
"WaymarkStudio","","","","2026/05/15 1:58:16 +09:00 (124d)",""
"WaymarkStudio","","","","2026/05/15 2:45:13 +09:00 (124d)",""
"WaymarkStudio","","","","2026/05/15 3:00:11 +09:00 (124d)",""
"WaymarkStudio","","","","2026/05/26 18:14:55 +09:00 (112d)",""
"WaymarkStudio","","","","2026/05/26 18:25:51 +09:00 (112d)",""
"WaymarkStudio","","","","2026/06/04 22:12:34 +09:00 (103d)",""
"WaymarkStudio","","","","2026/06/25 15:35:13 +09:00 (82d)",""
"WaymarkStudio","","","","2026/07/27 21:53:56 +09:00 (50d)",""
"WaymarkStudio","","","","2026/09/14 22:30:53 +09:00 (1d)",""
"WaymarkStudio","","","","2026/09/15 1:22:02 +09:00 (1d)",""
"WaymarkStudio","","","","2026/09/15 21:44:25 +09:00 (0d)",""
"WaymarkStudio","","","","2026/09/15 21:44:32 +09:00 (0d)",""
"WaymarkStudio","","","","2026/09/15 23:33:54 +09:00 (0d)",""
"WaymarkStudio","","","","2026/09/16 1:13:53 +09:00 (0d)",""
"WaymarkStudio","","","","20m用",""
"WaymarkStudio","","","","2層",""
"WaymarkStudio","","","","3層",""
"WaymarkStudio","","","","4層 前半",""
"WaymarkStudio","","","","4層 後半  もちべーぐる",""
"WaymarkStudio","","","","4層 後半 固定用",""
"WaymarkStudio","","","","4層 後半 野良 もちべーぐる",""
"WaymarkStudio","","","","8-72居住殻",""
"WaymarkStudio","","","","8-72居住殻屋内",""
"WaymarkStudio","","","","Aurelia Brambles","オーレリア・ブランブルズ"
"WaymarkStudio","","","","BAP (A/1) Magitaur","BAP (A/1) マジタウロス"
"WaymarkStudio","","","","BAP (B/2) Magitaur","BAP (B/2) マジタウロス"
"WaymarkStudio","","","","BAP (C/3) Magitaur","BAP (C/3) マジタウロス"
"WaymarkStudio","","","","Begin placing '1' waymark
Right click to clear","「1」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing '2' waymark
Right click to clear","「2」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing '3' waymark
Right click to clear","「3」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing '4' waymark
Right click to clear","「4」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing 'A' waymark
Right click to clear","「A」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing 'B' waymark
Right click to clear","「B」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing 'C' waymark
Right click to clear","「C」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Begin placing 'D' waymark
Right click to clear","「D」ウェイマークの配置を開始します
右クリックでクリア"
"WaymarkStudio","","","","Bilibili/Cross Lions","Bilibili/Cross ライオンズ"
"WaymarkStudio","","","","Black & White Fires + Phase 2 Eyes","ブラック＆ホワイト ファイアー + フェーズ 2 アイズ"
"WaymarkStudio","","","","Black & White Fires + Phase 2 Eyes + Elmo Party Stack","ブラック＆ホワイト ファイアーズ + フェーズ 2 アイズ + エルモ パーティ スタック"
"WaymarkStudio","","","","Boss 1","ボス1"
"WaymarkStudio","","","","Boss 1 - Silkie (Hector Guide)","ボス 1 - ウコッキー (ヘクターガイド)"
"WaymarkStudio","","","","Boss 2","ボス2"
"WaymarkStudio","","","","Boss 2 - Gladiator of Sil'dihn (Hector Guide)","ボス 2 - シルディーンの剣闘士 (ヘクトル ガイド)"
"WaymarkStudio","","","","Boss 3","ボス3"
"WaymarkStudio","","","","Boss 3 - Shadowhunter Zeless Gah (JP Banishment)","ボス 3 - シャドウハンター ゼレス ガー (JP バニッシュメント)"
"WaymarkStudio","","","","Box Setup","ボックスのセットアップ"
"WaymarkStudio","","","","Bozjan Phantom","ボジャンファントム"
"WaymarkStudio","","","","Braindead Markers","ブレインデッドマーカー"
"WaymarkStudio","","","","Braindead Purgation","ブレインデッドパージション"
"WaymarkStudio","","","","Bridge Traps","ブリッジトラップ"
"WaymarkStudio","","","","Cancel",""
"WaymarkStudio","","","","Cardinal and Playstation Marks","カーディナルとプレイステーションのマーク"
"WaymarkStudio","","","","Cardinal/Intercardinal + Almighty Judgment box","Cardinal/Intercardinal + 全能の審判ボックス"
"WaymarkStudio","","","","Cardinal/Intercardinal Markers","Cardinal/Intercardinal マーカー"
"WaymarkStudio","","","","Chain Positions","チェーンの位置"
"WaymarkStudio","","","","Chain Positions (JP)","チェーンポジション (JP)"
"WaymarkStudio","","","","Circle Guide","サークルガイド"
"WaymarkStudio","","","","Clear All","すべてクリア"
"WaymarkStudio","","","","Clear Draft","クリアドラフト"
"WaymarkStudio","","","","Clear Waymarks","ウェイマークをクリアする"
"WaymarkStudio","","","","Clock - Letters on inner circle","時計 - 内側の円の文字"
"WaymarkStudio","","","","Clock Positions","クロックの位置"
"WaymarkStudio","","","","Clocks",""
"WaymarkStudio","","","","Clockspots",""
"WaymarkStudio","","","","CODCAR Brambles","CODCARブランブルズ"
"WaymarkStudio","","","","Community",""
"WaymarkStudio","","","","Conga",""
"WaymarkStudio","","","","Conga (Braindead)","コンガ (ブレインデッド)"
"WaymarkStudio","","","","Core",""
"WaymarkStudio","","","","Crystals & Water Safe spots","クリスタルと水に安全なスポット"
"WaymarkStudio","","","","Dahu",""
"WaymarkStudio","","","","Darya",""
"WaymarkStudio","","","","Diamond + Timer Strat Marker","ダイヤモンド + タイマー ストラト マーカー"
"WaymarkStudio","","","","Diamond Limit Cut","ダイヤモンドリミットカット"
"WaymarkStudio","","","","DPS Tower Markers","DPSタワーマーカー"
"WaymarkStudio","","","","Draft",""
"WaymarkStudio","","","","Edges",""
"WaymarkStudio","","","","EU PF",""
"WaymarkStudio","","","","Exaflare Safespot","エクサフレア セーフスポット"
"WaymarkStudio","","","","Fatalism points and Despair Unforgotten spread spots","運命のポイントと絶望の忘れられないスプレッドスポット"
"WaymarkStudio","","","","FOE Lockwards","FOEロックワーズ"
"WaymarkStudio","","","","FOE/ABBA Dead Stars","FOE/ABBA デッドスターズ"
"WaymarkStudio","","","","FOE/ABBA Demon Tablet","FOE/ABBA デーモンタブレット"
"WaymarkStudio","","","","FOE/ABBA Marble Dragon","FOE/ABBA マーブルドラゴン"
"WaymarkStudio","","","","Four Seasons","四季"
"WaymarkStudio","","","","Full Uptime Lions","フル稼働時間のライオンズ"
"WaymarkStudio","","","","God Kefka","神ブラシ"
"WaymarkStudio","","","","Group stack markers + Lightwave safe spots","グループスタックマーカー + Lightwave セーフスポット"
"WaymarkStudio","","","","Guide",""
"WaymarkStudio","","","","Happy Brambles","ハッピーブランブルズ"
"WaymarkStudio","","","","Harm Reduction - Billi","ハームリダクション - による"
"WaymarkStudio","","","","Hector",""
"WaymarkStudio","","","","High Concept","ハイコンセプト"
"WaymarkStudio","","","","Import From FFLogs (Disabled for API updates)","FFLogs からインポート (API 更新では無効)"
"WaymarkStudio","","","","Import Preset","プリセットのインポート"
"WaymarkStudio","","","","Imported",""
"WaymarkStudio","","","","Index",""
"WaymarkStudio","","","","Intercardinal Brambles","枢軸間イバラ"
"WaymarkStudio","","","","JP",""
"WaymarkStudio","","","","JP Markers","JPマーカー"
"WaymarkStudio","","","","JP Orbs","JPオーブ"
"WaymarkStudio","","","","Kampeos Harma positions","カンペオス・ハルマのポジション"
"WaymarkStudio","","","","Ketuduke",""
"WaymarkStudio","","","","Kindred",""
"WaymarkStudio","","","","Kindred (Inside Corner Prey)","キンドレッド (インサイドコーナーの獲物)"
"WaymarkStudio","","","","Knockback Markers","ノックバックマーカー"
"WaymarkStudio","","","","Lala & Statice","ララ＆スタティック"
"WaymarkStudio","","","","Limit Cuts in Corners","コーナーカットを制限する"
"WaymarkStudio","","","","Line Strat","ラインストラト"
"WaymarkStudio","","","","Locked Seed","ロックされたシード"
"WaymarkStudio","","","","LPDU",""
"WaymarkStudio","","","","M1S Color Pairs, clone numbers","M1S カラーペア、クローン番号"
"WaymarkStudio","","","","M1S Hector","M1S ヘクター"
"WaymarkStudio","","","","M8S Aligned with Phase 2 C","M8S はフェーズ 2 C と調整"
"WaymarkStudio","","","","Meteor sides & Snakes Safe A+C","流星の側面とスネークセーフ A+C"
"WaymarkStudio","","","","Meteors",""
"WaymarkStudio","","","","Mith-Shara Brambles","ミス・シャラ・ブランブルズ"
"WaymarkStudio","","","","Name:",""
"WaymarkStudio","","","","Native",""
"WaymarkStudio","","","","NAUR",""
"WaymarkStudio","","","","NAUR Phase 1","NAUR フェーズ 1"
"WaymarkStudio","","","","NAUR Phase 2","NAUR フェーズ 2"
"WaymarkStudio","","","","Necro: Shroud 2","ネクロ:シュラウド2"
"WaymarkStudio","","","","Neurolinks (Flipped triangle) + Static divebombs + Mid stack point","ニューロリンク (反転三角形) + 静的ダイブボム + ミッドスタックポイント"
"WaymarkStudio","","","","Neurolinks + Static divebombs + ABCD markers for divebombs","ニューロリンク + 静的急降下爆弾 + 急降下爆弾用の ABCD マーカー"
"WaymarkStudio","","","","Neurolinks + Static divebombs + Mid stack point","ニューロリンク + 静的ダイブボム + ミッドスタックポイント"
"WaymarkStudio","","","","No Presets Found","プリセットが見つかりません"
"WaymarkStudio","","","","Nukemaru",""
"WaymarkStudio","","","","Numbers for Sleepy Cats","眠そうな猫の数字"
