Plugin,Menu,Section,Type,English,Japanese
Saucy,,,, by Puni.sh, by Puni.sh
Saucy,,,, — daily 3×3 scratcher,— 毎日の3×3スクラッチくじ
Saucy,,,, — dodge the falling slices,— 落下攻撃を回避
Saucy,,,, — Map navigation,— マップ移動
Saucy,,,, — no games played,— プレイ回数なし
Saucy,,,, — Optional integrations,— オプション連携
Saucy,,,, — Placed bell must be in range,— 設置済みの呼び鈴が範囲内に必要
Saucy,,,, — punch the cactuar,— サボテンダーをパンチ
Saucy,,,, — ride shooting minigame,— ライドシューティング
Saucy,,,, — statistical safe spot,— 統計上の安全地帯
Saucy,,,, — swing the hatchet,— 手斧を振る
Saucy,,,, — weekly 4-digit raffle,— 毎週の4桁くじ
Saucy,,,,(none),（なし）
Saucy,,,,(none)##ClearDeckSelection,(なし)##ClearDeckSelection
Saucy,,,,About,情報
Saucy,,,,"Accepts match invites, selects a deck, and plays through rematches. Turn on before or during match prep.",試合への招待を受け入れ、デッキを選択し、再試合までプレイします。試合の準備前または準備中にオンにします。
Saucy,,,,"After playing for a while, pause starting new games for a short break. Current games can still finish.",しばらくプレイした後、新しいゲームの開始を一時停止して少し休憩します。現在のゲームはまだ終了できます。
Saucy,,,,Air Force One,出撃！ エアフォースパイロット
Saucy,,,,Always double down while the minigame timer is above this. Cash out when there is not enough time left for another round.,ミニゲームのタイマーがこれを超えている間は常にダブルダウンします。次のラウンドに十分な時間が残っていない場合はキャッシュアウトしてください。
Saucy,,,,Any Way the Wind Blows,暴風！ はないきフンガー
Saucy,,,,Auto-pick best deck,最適なデッキを自動選択
Saucy,,,Text/RenderTextWrapped,AutoRetainer,AutoRetainer
Saucy,,,,Boss Mod,Boss Mod
Saucy,,,,Break length (minutes),休憩時間（分）
Saucy,,,,Bruisings,
Saucy,,,,Brutals,
Saucy,,,TabItem,Cache,キャッシュ
Saucy,,,,Cactuar,
Saucy,,,,Card resale value,カード売却額
Saucy,,,,Cards won,獲得カード数
Saucy,,,,Cashes out at the next double-down and disables automation after the reward.,次のダブルダウン時にキャッシュアウトされ、報酬後の自動化が無効になります。
Saucy,,,,Choose when Saucy stops playing. On plugin load no option is selected and Saucy rematches until automation is disabled.,Saucyを停止する条件を選択します。プラグイン起動時は停止条件が選ばれておらず、自動化をOFFにするまで再戦を続けます。
Saucy,,,,Clear deck cache for this character,このキャラクターのデッキキャッシュをクリア
Saucy,,,,Collect prizes at the Cactpot cashier yourself. Saucy then paths you to the Jumbo broker and handles ticket purchase dialogue and confirms.,Cactpot レジで賞品を自分で受け取ります。次に、Saucy はユーザーを Jumbo ブローカーに導き、チケット購入ダイアログを処理して確認します。
Saucy,,,Selectable,Cuff-a-Cur,カフ ア カー
Saucy,,,,"Cuff-a-Cur and Out on a Limb only. When a placed summoning bell is in range and AutoRetainer reports retainers ready, Saucy finishes the current game, opens the bell, runs waits for Autoretainer to finish, then resumes.",カフ・ア・カーとアウト・オン・ア・リムのみ。配置された召喚ベルが範囲内にあり、AutoRetainer がリテイナーの準備ができたと報告すると、Saucy は現在のゲームを終了し、ベルを開いて、Autoretainer が終了するのを待って実行し、再開します。
Saucy,,,Text/RenderTextWrapped,Deck,デッキ
