Plugin,Menu,Section,Type,English,Japanese
WrathCombo,,,Text/RenderTextWrapped,   -   Penalty Lockout Window,   -   ペナルティ無効化時間
WrathCombo,,,Text/RenderTextWrapped,Add to the Stack:,優先リストに追加:
WrathCombo,,,Button,Additional custom action icons by alexisoffline,alexisofflineによる追加カスタムアクションアイコン
WrathCombo,,,Selectable,Any Cleansable Ally,解除可能な味方
WrathCombo,,,Selectable,Any DPS,DPS
WrathCombo,,,Text/RenderTextWrapped/Selectable,Any Healer,ヒーラー
WrathCombo,,,Text/RenderTextWrapped,Any Healer   >   Any Tank   >   Any Raiser   >   Any Party Member,ヒーラー > タンク > 蘇生可能ジョブ > パーティメンバー
WrathCombo,,,Selectable,Any Healer (If None Alive),ヒーラー（生存者がいない場合）
WrathCombo,,,Selectable,Any Magical DPS,遠隔魔法DPS
WrathCombo,,,Selectable,Any Melee DPS,近接DPS
WrathCombo,,,Selectable,Any Non Party Member,パーティ外メンバー
WrathCombo,,,Text/RenderTextWrapped/Selectable,Any Party Member,パーティメンバー
WrathCombo,,,Selectable,Any Phys Range DPS,遠隔物理DPS
WrathCombo,,,Selectable,Any Pure Healer,ピュアヒーラー
WrathCombo,,,Text/RenderTextWrapped/Selectable,Any Raiser,蘇生可能ジョブ
WrathCombo,,,Selectable,Any Raiser (If None Alive),蘇生可能ジョブ（生存者がいない場合）
WrathCombo,,,Selectable,Any Raiser DPS,蘇生可能DPS
WrathCombo,,,Selectable,Any Raiser DPS (If None Alive),蘇生可能DPS（生存者がいない場合）
WrathCombo,,,Selectable,Any Ranged DPS,遠隔DPS
WrathCombo,,,Selectable,Any Selfish DPS,自己完結型DPS
WrathCombo,,,Selectable,Any Shield Healer,バリアヒーラー
WrathCombo,,,Selectable,Any Support,支援ジョブ
WrathCombo,,,Text/RenderTextWrapped/Selectable,Any Tank,タンク
WrathCombo,,,Selectable,Any Tank (If None Alive),タンク（生存者がいない場合）
WrathCombo,,,Checkbox/RenderText,AoE DPS##Custom1000001,範囲DPS##Custom1000001
WrathCombo,,,Checkbox/RenderText,AoE Heals##Custom1000003,範囲回復##Custom1000003
WrathCombo,,,Text/RenderTextWrapped,Auto-Mode,自動モード
WrathCombo,,,Text/RenderTextWrapped,Auto-Rotation Disable,自動ローテーションOFF
WrathCombo,,,Text/RenderTextWrapped,Auto-Rotation Enable,自動ローテーションON
WrathCombo,,,Text/RenderTextWrapped,Auto-Rotation Toggle,自動ローテーション切替
WrathCombo,,,Checkbox/RenderText,Basic Combo###BST_Basic_Combo,基本コンボ###BST_Basic_Combo
WrathCombo,,,Checkbox/RenderText,Battlehorn Lockout Feature###BST_Battlehorn_Lockout,バトルホルン使用制限###BST_Battlehorn_Lockout
WrathCombo,,,Checkbox/RenderText,Borrow Feature###BST_Borrow_Feature,借用アビリティ置換###BST_Borrow_Feature
WrathCombo,,,Checkbox/RenderText,Capture Helper###BST_Capture_Helper,捕獲補助###BST_Capture_Helper
WrathCombo,,,Text/RenderTextWrapped,"Click this dropdown to open the list of available Target options.
Click any entry to add it to your Custom Stack, at the bottom.
There is a Textbox that says 'Filter...' at the top, type into this to search the list.","このプルダウンを開くと、利用可能なターゲット候補が表示されます。
項目をクリックすると、下部のカスタム優先リストへ追加されます。
上部の「Filter...」欄へ入力すると候補を絞り込めます。"
WrathCombo,,,Text/RenderTextWrapped,Conflicting Combo,競合するコンボ
WrathCombo,,,Selectable,Custom Actions,カスタムアクション
WrathCombo,,,Text/RenderTextWrapped,Disables auto-rotation.,自動ローテーションを無効にします。
WrathCombo,,,Checkbox/RenderText,Don't Override Icons with Job Actions (drag action to hotbar again to take effect),ジョブアクションでアイコンを上書きしない（反映にはホットバーへ再配置）
WrathCombo,,,Text/RenderTextWrapped,Enables auto-rotation.,自動ローテーションを有効にします。
WrathCombo,,,Checkbox/RenderText,Experimental HP Check Feature##UseExperimentalHP34,試験的HPチェック機能##UseExperimentalHP34
WrathCombo,,,Selectable,Field-MouseOver Target,フィールド上のマウスオーバー対象
WrathCombo,,,Selectable,Focus Target,フォーカスターゲット
WrathCombo,,,Selectable,Hard Target,現在のターゲット
WrathCombo,,,CollapsingHeaderPtr,Heal Stack Customization Options  ,回復優先順のカスタマイズ  
WrathCombo,,,Checkbox/RenderText,Instinctual Combo###BST_Instinctual_Combo,本能コンボ###BST_Instinctual_Combo
WrathCombo,,,Checkbox/RenderText,Intentional Combo###BST_Intentional_Combo,意図コンボ###BST_Intentional_Combo
WrathCombo,,,Selectable,Kardion Target,カルディア対象
WrathCombo,,,Selectable,Last Hard Target,直前のターゲット
WrathCombo,,,Selectable,Last Hostile Hard Target,直前の敵対ターゲット
